swahili	Unatakiwa ukumbuke kuwa ulikuwa mtumwa katika nchi ya Misri; kwa hiyo nakuagiza kutii amri hii.
manobo	Na impananglitan ni Jesus to mgo Hudiyu bahin to sinakupan din no iyan ogka-angodan to pigpang-aad no mgo buhì no karniru. Kagi din to “So-idi iyan. To ogsood to aad to mgo buhì no oglipas to li-otanan aw puli ponhik aw patilopow to in-aad, kandin ogpaka-angod to kawatan aw tulisan.
swahili	(tangu Shihori, iliyoko mashariki mwa Misri, na upande wa kaskazini kuelekea mpaka wa Ekroni, inayofikiriwa kuwa ni mali ya Wakanaani; wafalme watano wa Wafilisti, wale wafalme wa Gaza, Ashidodi, Ashikeloni, Gathi na Ekroni - miliki ya Waavi.
nahuatl	Kuali xikyejyekokah tlen inkichivah, iva ayakmo xitlajtlakolchivakah. Porke sekimeh de imejvah amo kixmatih in toYejwatzi. Ijkí nimechilvia para xipinavakah.
manobo	“Na to ka-aw-apu-an tanow, no namakalibod-libod diyà to kahanongan no katahayan no banwa, namandawdaa kandan to abutanan to Diyus no igkamatu-ud dan to Diyus, nigduma-duma sanglitanan to Diyus no pigpa-aha-an din.
manobo	Na sikan minuna ta no na-uyunan to Diyus, pagtu-u dan to Diyus to piglikatan to pagka-uyuni dan. Ko pananglitan si Abil no nigsundù to Diyus to madoyow pad du-on ki Kain, impabayà din to pagtu-u din. No pagka-uyun to Diyus ki Abil no pinabayà to pagdawat din to insundù ni Abil, ogkasabutan ta to pighimu si Abil to Diyus no matuwadong. Agad namatoy si Abil, dì to pagtu-u din, ogka-anadan ta to madoyow no oggoadon ta.
swahili	Vivyo hivyo na ninyi. Mkitoa kwa ulimi neno lisilo dhahiri, ni jinsi gani mtu ataelewa mnachosema? Mtakuwa mkiongea, na hakuna atakayewaelewa.
swahili	Muda huo huo wanafunzi wakaja kwa Yesu na kumwambia, "Ni nani aliye mkubwa katika ufalme wa mbinguni?"
tagalog	Sinabi ni Moises sa kaniya, "Kung ang inyong presensiya ay hindi sasama sa amin, huwag mo kaming alisin mula rito.
swahili	Wakasema, "Huyu siyo Yesu mwana wa Yusuph, ambaye baba yake na mama yake tunamfahamu? Imekuwaje sasa anasema, 'Nimeshuka kutoka mbinguni`?"
swahili	Hivyo Absalomu akawambia watumishi wake, "Tazameni, shamba la Yoabu lipo karibu na langu, naye ana shayiri kule. Nendeni mkalichome moto" Hivyo watumishi wa Absalome wakalichoma moto lile shamba.
manobo	Nama-anan kud iyan sikan no impang-anad bahin to kabogbogan to paglipwas ita to pagpakimatoy ita ni Jesus du-on to kinurus, iyan nahimu no wadà puus to mgo otow no kastiguhonon on to saà. Dì ita no nalipwasan on to saà, nama-anan ta to sikan no impang-anad to impabayà to kabogbogan to kalipwasanan ta likat to Diyus.
swahili	dhiki yangu nilimuita Yahwe; Niliita msaada kwa Mungu. Naye alisikia sauti yangu kutoka hekaluni mwake; kuita kwangu msaada kulienda mpaka uweponi mwake; na kuingia masikioni pake.
tagalog	Iniulat ni Mordecai sa kanya ang lahat ng nangyari sa kanya, at ang kabuuang halaga ng pilak na pinangako ni Haman para timbangin at ilagay sa pananalapi ng hari upang ipapatay ang mga Judio.
tagalog	walang pag-aalinlangan na kayo ang bayan; ang karunungan ay mamamatay na kasama ninyo.
tagalog	Tumingin siya sa baba sa Sodoma at Gomora at sa lahat ng lupain ng kapatagan. Nakita niya at namasdan ang usok na umaakyat mula sa lupa na katulad ng usok sa isang pugon.
tagalog	Sinabi niya sa hari, "Totoo nga ang balita na narinig ko sa aking sariling lupain tungkol sa iyong mga salita at karunungan.
tagalog	Bumalik nang ligtas si Jehoshafat na hari ng Juda sa kaniyang bahay sa Jerusalem.
swahili	lakini maskini hakuwa na chochote isipokuwa mwanakondoo, aliyekuwa amemnunua na kumlisha na kumlea. Akakua pamoja naye na pamoja na watoto wake. Yule mwanakondoo hata alikula naye na kunywa kutoka katika kikombe chake, naye akalala katika mikono yake na alikuwa kama binti kwake.
tagalog	Kaya kunin mo ang iyong mga sandata, ang iyong sisidlan ng palaso at pana at mangaso ka sa bukid para sa akin.
swahili	Mtu mwenye hasira huchochea mabishano, bali mtu ambaye hukawia kukasirika hutuliza ugomvi.
swahili	Sadaka yake ilikuwa sahani moja ya fedha ya uzito wa shekeli130 na bakuli moja la fedha lenye uzani wa sheli sabini, kwa kipimo cha mahali patakatifu. Viyombo vyote hivi vilikuwa vimejaa unga mwembamba uliochanganywa na mafuta kwa sadaka ya unga.
hausa	Kamar yadda yake a rubuce."Wadanda ba a taba fada wa labarinsa ba, su gane. Wadanda ba su taba jin labarinsa ba su fahimta."
tagalog	Tumatakas ang Madmenah, at ang mga nananahan sa Gebim ay naghanap ng mapagkakanlungan.
nahuatl	Timoteo, nokone itech tlaneltokalistli, in tlamantih tlen nimitzilvia xikinchiva, nimitzilvia ijkó kemi tlen okijtojkeh in tlayakankeh tlaneltokakeh ijkuak otiotenejmachtijkeh de te. Tla ijkó tikchivas, tietos kemi se soldado tlen veli tlamaga por toTeko.
indonesian	Ternyata kalian tidak percaya kalau Aku mengajar tentang hal-hal duniawi, jadi bagaimana mungkin kalian bisa percaya kalau Aku mengajar tentang hal-hal surgawi?
indonesian	Para hamba dari pemilik ladang itu pun datang dan bertanya, ‘Tuan, kita sudah menanam bibit yang baik di ladang itu— bukan?! Jadi dari manakah datangnya lalang-lalang yang tumbuh di sana?’
indonesian	Pintu Ruang Kudus dibatasi oleh kain gorden. Di belakang ruangan yang pertama itu ada pintu masuk ke ruangan yang kedua, dan pintu itu dibatasi oleh kain gorden kedua. Ruangan yang kedua itu disebut Ruang Mahakudus.
manobo	Si Jonas, naka-ugpà on du-on to sood to gotok to isdà to tatou no adow. Dì kanak no Tumutubus to Ka-otawan, ogpaka-ugpà a gayod to lobong to tatou no adow.
indonesian	Lalu Yudas, orang yang sudah menjual Yesus dan segera akan menyerahkan-Nya berkata, “Bukan saya, toh?”Jawab Yesus, “Demikianlah.”
manobo	Natibuus to ginhawa noy agad mahimu koy no tipig no otow dow bantugan. Kadoog koy nalimutan to kamuwahanan dì buhì koy dà man. Agad mabun-ug koy to kalisod, dì wadà koy man kamatoy.
nahuatl	Pero tlen nechkaki iva amo kichiva tlen nikijtova, yejón kemi se tlakatl tlen okichi ikal san ipan tlali, iva amo kipia itlakxitlanyo. Iva ijkuak ovala in atepeatl iva omotlavitekiko chikavak itech kali, ovetzki iva nochi oxixinki.
manobo	Na, nigpang-anad si Jesus diyà to songo simbahan to adow no konà no tigtatalabahu.
swahili	Ulinde salama moyo wako na uukinge kwa bidii zote; kwa kuwa katika moyo hububujika chemichemi za uzima.
nahuatl	Yejonmeh toknivah otlayakankeh iva otechchiatoh asta siudad de Troas.
swahili	Kuna mwili mmoja na Roho moja, kama ambavyo pia mlikuwa mmeitwa katika uhakika wa taraja moja la wito wenu.
tagalog	Hindi itinakwil ng Diyos ang kaniyang mga tao, na kilala na niya noon pa man. Hindi ba ninyo alam kung ano ang sinasabi ng kasulatan tungkol kay Elias, kung paano siya nakiusap sa Diyos laban sa Israel?
tagalog	Sinabi ni David sa kaniya, "Bakit hindi ka natakot na patayin ang hari na hinirang ni Yahweh sa pamamagitan ng iyong sariling kamay?"
swahili	Aliwaonyesha njia ya kuingia kwenye mji. Waliuteka mji kwa makali ya upanga, lakini wakamuacha mtu huyo na ndugu zake wote waondoke.
tagalog	Ito ang salita ni Yahweh na dumating kay propetang Jeremias tungkol sa mga Filisteo. Dumating ang salitang ito sa kaniya bago sinalakay ni Faraon ang Gaza.
swahili	Rezoni alijikusanyia wanaume naye akawa mkuu wa jeshi dogo, Daudi ali[owapiga wanaume wa Soba. Wale wanume Rezoni walienda Dameski kuishi huko, na Rezoni aliitawala Dameski.
nahuatl	Pero tlen kijtova ke Jesucristo amo ovala itech nin tlaltikpaktli kemi se tlakatl, kijtosneki amo kipia iTioijyotzi in Dios sino kipia iejekayo tlen kajki en kontra de Cristo. Imejvah yonkikakeh nik vitz tlen kajki en kontra de Cristo, iva axka ya kajki itech nin tlaltikpaktli.
nahuatl	’Ma pakikah tlen teiknomatih, porke Dios noijki kinmiknomatis.
hausa	Wata annabiya mai suna Annatu ta na nan wurin. Ita diyar Fanuyila ce daga kabilar Ashiru. Ta riga ta manyanta a shekaru sosai. Ta kasance da maigidanta shekaru bakwai bayan auren ta,
nahuatl	Pero in Pedro okilvi:—Amo nikpia plata nion oro, pero tlen nikpia nimitzmaka: ika itoka in Jesucristo de Nazaret, ximoketza iva xinejnemi.
swahili	Hakujinyenyekesha mbele za Yahwe, kama baba yake Manase alivyokuwa amefanya. Badala yake, Amoni huyu huyu alifanya makosa zaidi na zaidi.
tagalog	Talaga bang ang sakuna mula sa kanila ang aking gantimpala sa pagiging mabuti sa kanila? Sapagkat humukay sila ng isang malalim na hukay para sa akin. Alalahanin kung paano sila tumayo sa iyong harapan upang magsalita sa kanilang mga pangangailangan, upang ang iyong matinding galit ay ilayo mula sa kanila.
hausa	Wani yana da bangaskiyar yaci komai, wani wanda yake da rauni yakanci ganye ne kawai.
